price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id
3400000.0,4,3,9,9.0,0.0,0,0,0,1,1,7,10,951,16,1,4
3400000.0,4,4,9,7.0,792.0,0,1,0,1,1,7,10,1132,40,1,4
3400000.0,4,3,9,6.0,0.0,0,0,0,1,1,7,10,1121,45,1,4
3400000.0,3,3,7,10.0,0.0,0,0,0,1,1,7,10,1582,16,1,4
3400000.0,4,3,9,6.0,0.0,0,1,0,1,1,7,10,1458,38,1,4
3400000.0,4,3,9,6.0,0.0,0,1,0,1,1,7,10,927,34,1,4
3450000.0,6,4,13,6.0,0.0,0,1,0,1,1,7,10,2458,64,1,4
3450000.0,3,2,7,5.0,1619.0,0,1,0,1,1,7,10,1566,20,1,4
3450000.0,4,2,9,1.0,0.0,1,1,0,1,1,9,10,1414,23,1,4
3450000.0,3,2,7,6.0,0.0,0,1,1,1,1,8,10,1236,27,1,4
3450000.0,3,3,7,2.0,0.0,0,1,0,1,1,7,10,1896,36,1,4
3450000.0,3,2,7,4.0,0.0,0,1,0,1,1,7,10,1833,44,1,4
3450000.0,4,2,9,5.0,0.0,1,1,0,1,1,9,10,1032,20,1,4
3450000.0,4,4,9,4.0,0.0,0,1,1,1,1,7,10,1906,35,1,4
3450000.0,4,2,9,2.0,1000.0,1,0,0,1,1,9,10,992,15,1,4
3490000.0,3,2,7,8.0,0.0,1,1,0,1,1,7,10,1525,36,1,4
3495000.0,2,1,5,3.0,0.0,0,1,0,1,1,9,10,1043,55,1,4
3545000.0,1,1,3,0.0,1207.0,1,0,1,0,1,9,10,1132,11,1,8
3550000.0,3,3,7,4.0,0.0,0,1,0,0,1,8,10,1289,51,1,4
3595000.0,4,3,9,4.0,0.0,1,1,1,1,1,8,10,1375,31,1,4
3599000.0,3,2,7,5.0,0.0,0,1,0,1,1,7,10,1311,17,1,4
3600000.0,4,3,9,6.0,0.0,1,1,0,1,1,7,10,1926,44,1,4
3600000.0,4,3,9,6.0,0.0,0,1,1,1,1,7,10,1711,41,1,4
3600000.0,4,3,9,8.0,0.0,0,1,0,1,1,8,10,657,43,1,4
3600000.0,2,2,5,6.0,0.0,0,1,1,0,0,7,10,1955,30,1,4
3650000.0,1,1,3,4.0,0.0,0,1,1,0,1,7,10,771,36,1,4
3650000.0,3,1,7,3.0,0.0,0,1,0,1,0,7,10,678,20,1,4
3650000.0,3,2,7,5.0,0.0,0,1,1,1,1,8,10,1321,24,1,4
3650000.0,3,3,7,3.0,0.0,0,0,0,1,1,9,10,1117,54,1,4
3650000.0,3,2,7,6.0,0.0,0,1,0,1,1,7,10,898,31,1,4
3650000.0,3,2,7,4.0,0.0,1,1,0,1,1,9,10,1991,31,1,6
3680000.0,4,3,9,4.0,0.0,0,1,1,1,1,7,10,3414,24,1,4
3695000.0,5,3,11,6.0,426.0,0,1,1,1,1,7,10,1326,41,1,4
3695000.0,5,3,11,8.0,426.0,0,1,1,1,1,7,10,2861,42,1,4
3750000.0,5,4,11,6.0,0.0,0,1,1,1,1,7,10,1135,39,1,4
3750000.0,3,2,7,7.0,0.0,0,1,1,1,0,7,10,1954,58,1,4
3750000.0,3,2,7,7.0,0.0,0,1,0,1,0,7,10,1097,32,1,4
3750000.0,5,4,11,6.0,0.0,0,1,0,1,1,7,10,2075,26,1,4
3790000.0,2,2,5,3.0,0.0,0,1,1,1,1,9,10,1468,12,1,4
3790000.0,2,2,5,4.0,0.0,0,1,1,1,1,9,10,1293,8,1,4
3800000.0,3,2,7,6.0,0.0,0,1,0,1,1,9,10,640,28,1,4
3800000.0,4,2,9,9.0,0.0,0,1,0,1,0,7,10,1643,52,1,4
3800000.0,1,2,3,8.0,184.0,0,1,0,1,0,7,10,539,19,1,4
3800000.0,4,4,9,7.0,0.0,0,1,0,1,1,8,10,1467,24,1,4
3800000.0,3,3,7,2.0,0.0,1,1,1,1,0,7,10,1940,27,1,4
3800000.0,4,3,9,8.0,0.0,1,1,1,1,1,7,10,1609,37,1,4
3800000.0,1,1,3,0.0,0.0,0,0,0,0,0,7,10,636,24,1,11
3800000.0,5,3,11,6.0,80.0,0,1,1,1,1,7,10,720,44,1,4
3850000.0,3,3,7,8.0,0.0,0,1,0,1,1,7,10,1933,53,1,4
3890000.0,1,1,3,0.0,0.0,0,0,0,0,1,8,10,1171,16,1,8
3900000.0,3,2,7,5.0,0.0,1,1,0,1,1,9,10,923,39,1,4
3900000.0,4,4,9,0.0,0.0,1,1,1,1,1,9,10,1818,20,1,4
3900000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,549,19,1,11
3950000.0,3,2,7,6.0,0.0,0,1,0,1,1,7,10,2273,37,1,4
3950000.0,2,2,5,3.0,0.0,0,0,1,1,0,7,10,1161,20,1,4
3950000.0,3,3,7,3.0,0.0,1,1,1,1,1,8,10,1484,20,1,4
