price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id,suburb,city,listing_number,listing_url
1870000.0,1,1,3,0.0,0.0,0,0,0,0,1,9,10,1191,12,1,8,Vermont,Hermanus,P24-116836533,https://www.property24.com/for-sale/vermont/hermanus/western-cape/7861/116836533
1885000.0,3,3,7,4.0,0.0,1,1,0,1,1,7,10,923,19,1,4,Perlemoenbaai,Gansbaai,P24-116795262,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116795262
1890000.0,1,1,3,0.0,0.0,0,0,0,0,1,8,10,1157,14,1,8,Bettys Bay,Bettys Bay,P24-116783839,https://www.property24.com/for-sale/bettys-bay/bettys-bay/western-cape/7823/116783839
1890000.0,1,1,3,0.0,1456.0,0,0,0,0,1,7,10,832,7,1,8,Sunny Seas Estate,Bettys Bay,P24-116161671,https://www.property24.com/for-sale/sunny-seas-estate/bettys-bay/western-cape/16332/116161671
1890000.0,2,2,5,2.0,0.0,1,1,0,1,1,7,10,1152,25,1,4,Kleinbaai,Gansbaai,P24-116779292,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116779292
1890000.0,2,2,5,2.0,0.0,1,1,0,1,1,7,10,1091,27,1,4,Kleinbaai,Gansbaai,P24-116832295,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116832295
1895000.0,3,3,7,2.0,0.0,0,0,1,0,1,7,10,369,29,1,4,Perlemoenbaai,Gansbaai,P24-116812356,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116812356
1895000.0,3,3,7,4.0,0.0,0,0,1,0,1,7,10,1432,20,1,4,Perlemoenbaai,Gansbaai,P24-116786197,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116786197
1895000.0,3,3,7,4.0,0.0,1,1,0,1,1,7,10,640,24,1,4,Perlemoenbaai,Gansbaai,P24-116775123,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116775123
1895000.0,3,3,7,4.0,0.0,0,1,0,1,1,7,10,671,16,1,4,Perlemoenbaai,Gansbaai,P24-116777894,https://www.property24.com/for-sale/perlemoenbaai/gansbaai/western-cape/7866/116777894
